Probe	EnsemblID	symbol	name
ENSG00000000003.13	ENSG00000000003	TSPAN6	tetraspanin 6
ENSG00000000005.5	ENSG00000000005	TNMD	tenomodulin
ENSG00000000419.11	ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
ENSG00000000457.12	ENSG00000000457	SCYL3	SCY1 like pseudokinase 3
ENSG00000000460.15	ENSG00000000460	C1orf112	chromosome 1 open reading frame 112
ENSG00000000938.11	ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase
ENSG00000000971.14	ENSG00000000971	CFH	complement factor H
ENSG00000001036.12	ENSG00000001036	FUCA2	fucosidase, alpha-L- 2, plasma
ENSG00000001084.9	ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit
ENSG00000001167.13	ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha
ENSG00000001460.16	ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1
ENSG00000001461.15	ENSG00000001461	NIPAL3	NIPA like domain containing 3
ENSG00000001497.15	ENSG00000001497	LAS1L	LAS1 like, ribosome biogenesis factor
ENSG00000001561.6	ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)
ENSG00000001617.10	ENSG00000001617	SEMA3F	semaphorin 3F
ENSG00000001626.13	ENSG00000001626	CFTR	cystic fibrosis transmembrane conductance regulator
ENSG00000001629.8	ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1
ENSG00000001630.14	ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1
ENSG00000001631.13	ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing
ENSG00000002016.15	ENSG00000002016	RAD52	RAD52 homolog, DNA repair protein
ENSG00000002079.11	ENSG00000002079	MYH16	myosin, heavy chain 16 pseudogene
ENSG00000002330.12	ENSG00000002330	BAD	BCL2 associated agonist of cell death
ENSG00000002549.11	ENSG00000002549	LAP3	leucine aminopeptidase 3
ENSG00000002586.16	ENSG00000002586	CD99	CD99 molecule
ENSG00000002587.8	ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002726.18	ENSG00000002726	AOC1	amine oxidase, copper containing 1
